VDS_CD,TRFFCVLM,OCCPNCY,SPD_AVG,Start or End,point,geometry,length,count,black-spot
0010VDS19900,7962867,3.949,98.746,S,260.2,"LINESTRING (127.57254706558355 36.30974240442519, 127.55474985542492 36.318963023259414)",1898,0,0
0010VDS20000,8080079,1.822,97.979,S,261.2,"LINESTRING (127.55476143824738 36.3189561326501, 127.54623293604001 36.32475067769587)",1000,0,0
0010VDS20100,7274736,3.652,93.097,S,262.2,"LINESTRING (127.54623103155073 36.32475194271769, 127.53754562878197 36.330391417719916)",1000,0,0
0010VDS20110,8796461,3.54,93.677,S,262.6,"LINESTRING (127.53754479874762 36.33039195136385, 127.53404369754344 36.33262085335623)",400,0,0
0010VDS20203,7452388,3.795,91.425,S,265.1,"LINESTRING (127.53405884027838 36.33260919506869, 127.52333404287951 36.34257552251017)",1466,0,0
0010VDS20300,7176653,3.786,94.632,S,264.2,"LINESTRING (127.52333682784729 36.34257283089601, 127.51713853029219 36.34880532533971)",888,1,0.139340721
0010VDS20400,7599972,3.726,90.878,S,266,"LINESTRING (127.51708101425872 36.34883578953372, 127.50746790436163 36.350955481862464)",894,0,0
0010VDS20500,7549846,3.606,97.381,S,266.9,"LINESTRING (127.50743799222933 36.35095865280505, 127.49754528082401 36.350914602755374)",888,2,0.264906066
0010VDS20600,0,0,0,S,267.8,"LINESTRING (127.49748361289625 36.35089921009498, 127.48915620855351 36.34635868581085)",901,0,0
0010VDS20750,0,0,0,S,269.5,"LINESTRING (127.48922305760307 36.346374008791265, 127.47072143632751 36.34698518947938)",1662,0,0
0010VDS20780,0,0,0,S,270,"LINESTRING (127.47078465353114 36.34696668946905, 127.46637015185567 36.34970105193826)",499,0,0
0010VDS20800,5229334,4.951,97.25,S,271,"LINESTRING (127.46637828190758 36.349695498966625, 127.45819118095864 36.355851634096844)",1003,1,0.19122894
0010VDS20900,9712864,5.727,94.037,S,272.1,"LINESTRING (127.45820487776682 36.35583924466957, 127.45090998188063 36.36380809006982)",1100,0,0
0010VDS21000,12308161,11.117,75.071,S,273.3,"LINESTRING (127.45089021221861 36.36382472249547, 127.44082190899135 36.37036573829859)",1159,0,0
0010VDS21100,13907112,6.871,97.384,S,274.3,"LINESTRING (127.44079874209902 36.370377333365425, 127.43100923400435 36.37402378712886)",967,0,0
0010VDS21200,7682679,8,90.787,S,275.3,"LINESTRING (127.43106549194692 36.37397660344738, 127.42681880089275 36.382209727067114)",990,0,0
0010VDS21210,4471539,6.545,87.5225,S,278.3,"LINESTRING (127.42682122892973 36.38220458370143, 127.4239016369876 36.3890049662515)",799,1,0.223636649
0010VDS21310,4507623,7.966,62.448,S,278,"LINESTRING (127.42389554332257 36.38901649876323, 127.418806850838 36.39704831294528)",1001,0,0
0010VDS21350,11180598,7.613,86.912,S,276.1,"LINESTRING (127.41881879075059 36.39700033676373, 127.41957270204198 36.404970646085154)",887,1,0.089440654
